Country,Distancing policy ,Date Implemented,Date Ended,Source,
Libya,Suspension of all flights,16 March,6 April,https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,
Madagascar,Travel ban on all flights,20 March,19 April,http://mg2.mofcom.gov.cn/article/chinanews/202003/20200302946118.shtml,
Madagascar,Suspension of flights to Madagascar,20 March,20 April,https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,
Malawi,Ban of public gatherings of more than 100 people,20 March,,https://www.nyasatimes.com/mutharika-lays-out-malawi-response-plan-on-coronavirus-bans-gatherings-of-100-people-schools-closing/,
Malawi,Closure of public and private institutions,23 March,,https://www.nyasatimes.com/mutharika-lays-out-malawi-response-plan-on-coronavirus-bans-gatherings-of-100-people-schools-closing/,
Malawi,Travel ban on foreigners from highly affected countries,20 March,,https://www.nyasatimes.com/mutharika-lays-out-malawi-response-plan-on-coronavirus-bans-gatherings-of-100-people-schools-closing/,
Mali,Suspension of flights,19 March,,https://www.aa.com.tr/en/africa/mali-suspends-flights-from-covid-19-hit-countries-/1769908,
Mali,Closure of schools,19 March,,https://www.aa.com.tr/en/africa/mali-suspends-flights-from-covid-19-hit-countries-/1769908,
Mali,Ban of public gatherings,19 March,,https://www.aa.com.tr/en/africa/mali-suspends-flights-from-covid-19-hit-countries-/1769908,
Mauritania,Flight cancellations,17 March,,https://www.africanews.com/2020/03/21/covid-19-mauritania-enforces-curfew/,
Mauritania,Curfew 8pm to 6am,19 March,,https://www.africanews.com/2020/03/21/covid-19-mauritania-enforces-curfew/,
Mauritania,14 days quarantine for passengers,17 March,,https://www.garda.com/crisis24/news-alerts/323971/mauritania-all-flights-suspended-on-march-17-update-2,
Mauritania,Closure of schools and universities,16 March,23 March,https://www.africanews.com/2020/03/21/covid-19-mauritania-enforces-curfew//,
Mauritius,All foreign nationals will not be allowed entry to or transit through the country,March 19,2 April,https://www.cnbcafrica.com/africa-press-office/2020/03/23/3-cases-of-covid-19-reported-in-mauritius/,
Mauritius,"All passengers, including Mauritian nationals and residents, will not be allowed entry to or transit through the country",March 22,5 April,https://www.cnbcafrica.com/africa-press-office/2020/03/23/3-cases-of-covid-19-reported-in-mauritius/,
Mauritius,Sanitary curfew,March 23,15 April,https://defimedia.info/info-soiree-covid-19-le-couvre-feu-sanitaire-etendu-au-15-avril,
Mauritius,National confinement from 6 am,March 20,3 April,https://defimedia.info/breaking-news-covid-19-pravind-jugnauth-annonce-un-confinement-national,
Mauritius,Supermarkets and shops closed,March 24,2 April,https://ionnews.mu/video-covid-19-lockdown-renforce-supermarches-et-boulangeries-fermes-jusquau-31-mars-24032020/,
Mauritius,Complete lockdown,March 24,4 May,https://ionnews.mu/video-covid-19-lockdown-renforce-supermarches-et-boulangeries-fermes-jusquau-31-mars-24032020/,
Morocco,"Travel suspension to Algeria, Spain and France and school suspension",13 March,,https://www.lemonde.fr/afrique/article/2020/03/13/covid-19-le-maroc-boucle-ses-liaisons-aeriennes-et-maritimes-vers-l-espagne-la-france-et-l-algerie_6032978_3212.html,
Morocco,Suspends all international flight,15 March,,https://www.reuters.com/article/us-health-coronavirus-morocco-flights/morocco-suspends-all-international-passenger-flights-foreign-ministry-idUSKBN2120QQ,
Morocco,Shutdown of schools,16 March,,http://www.mapnews.ma/en/actualites/general/courses-suspended-morocco-march-16-until-further-notice,
Morocco,State of emergency,20 March,20 April,https://www.moroccoworldnews.com/2020/03/296213/covid-19-morocco-declares-public-health-emergency/,
Morocco,Compulsory face mask wearing,7 April,,https://www.hespress.com/societe/466595.html,
Mozambique,Suspension of visa issuances ,23 March,22 April,http://apanews.net/en/news/mozambique-suspends-new-visas-for-chinese-nationals-over-coronavirus-fears,
Mozambique,State of emergency,1 April,30 April,https://allafrica.com/stories/202003310890.html,
Mozambique,Closure of universities and schools,22 March,21 April,https://allafrica.com/stories/202003200758.html,
Namibia,"Suspension of air travels from Ethiopia, Germany and Qatar",14 March,13 April,https://www.namibian.com.na/89251/read/Namibia-battles-coronavirus,
Namibia,No public gatherings,14 March,13 April,https://www.namibian.com.na/89251/read/Namibia-battles-coronavirus,
Namibia,Partial lockdown,27 March,17 April,https://www.namibian.com.na/89582/read/Partial-lockdown-in-effect-from-Friday,
Niger,Educational establishments and land borders closed,16 March,,https://medicalxpress.com/news/2020-03-niger-coronavirus-case.html,
Niger,Closure of Niamey International airport,19 March,2 April,https://www.aci-africa.aero/files/Status-COVID19-in-Africa-02-04-20.pdf,
Nigeria,National Youth Service Corps (NYSC) was suspended,18 March,,https://www.thecable.ng/breaking-nysc-shuts-orientation-camps-over-coronavirus-fears,
Nigeria,Travel ban and suspension of visa on arrival,21 March,18 April,https://punchng.com/breaking-fg-places-travel-ban-on-china-italy-us-uk-others/,
Nigeria,Mandatory 14 days self isolation,21 March,,https://punchng.com/breaking-fg-places-travel-ban-on-china-italy-us-uk-others/,
Nigeria,Ban of all public gatherings of more than 50 people,18 March,17 April,https://punchng.com/breaking-lagos-bans-religious-gathering-with-over-50-worshippers/,
Nigeria,Suspension of football activities,18 March,15 April,https://punchng.com/breaking-nff-shuts-down-football-activities-for-28-days/,
Nigeria,"Closure of 3 international airports in Kano, Enugu and Port Harcourt respectively",21 March,18 April,https://www.vanguardngr.com/2020/03/covid-19-fg-shuts-enugu-port-harcourt-and-kano-airports/,
Nigeria,Suspension of railway services,23 March,,https://punchng.com/breaking-fg-suspends-railway-services-monday-as-coronavirus-cases-increase/,
Nigeria,"Partial Lockdown of 3 key states-Lagos, Abuja and Ogun",29 March,27 April,https://www.cnbcafrica.com/coronavirus/2020/04/13/covid-19-nigeria-extends-lockdown-by-two-weeks-in-lagos-abuja-ogun-states/,
Nigeria,Closure of Lagos and Abuja international airports,23 March,20 April,https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,
Republic of the Congo,Closure of borders and all airports,,,,
Republic of the Congo,Curfew from 8pm to 5 am,31 March,30 April,https://www.africanews.com/2020/03/30/congo-republic-heads-into-coronavirus-lockdown//,
Republic of the Congo,State lockdown,31 March,30 April,https://www.africanews.com/2020/03/30/congo-republic-heads-into-coronavirus-lockdown//,
Rwanda,Nationwide shutdown,21 March,,https://atlanticcouncil.org/blogs/africasource/rwandas-successes-and-challenges-in-response-to-covid-19/,
Rwanda,Travel ban except emergency and cargo flights,21 March,20 April,https://atlanticcouncil.org/blogs/africasource/rwandas-successes-and-challenges-in-response-to-covid-19/,
Rwanda,Lock down and closure of non-essential businesses,21 March,4 April,https://atlanticcouncil.org/blogs/africasource/rwandas-successes-and-challenges-in-response-to-covid-19/,
Sao Tome and Principe,Travel ban,19 March,17 April,https://www.gov.uk/foreign-travel-advice/sao-tome-and-principe/coronavirus,
Sao Tome and Principe,Restrictions of entry of travelers,11 March,,https://www.garda.com/crisis24/news-alerts/321991/sao-tome-and-principe-entry-restrictions-in-place-as-of-march-11,
Sao Tome and Principe,Closure of public and private schools ,20 March,,https://macauhub.com.mo/2020/03/18/pt-paises-africanos-de-lingua-portuguesa-alargam-medidas-de-prevencao-ao-covid-19/,
Sao Tome and Principe,"Closure of entertainment, religious, sports and recreational events",20 March,,https://macauhub.com.mo/2020/03/18/pt-paises-africanos-de-lingua-portuguesa-alargam-medidas-de-prevencao-ao-covid-19/,
Senegal,Closure of public spaces and gatherings,23 March,,https://www.aa.com.tr/en/africa/covid-19-gambia-senegal-to-close-border-for-21-days/1776298,
Senegal,Nationwide curfew- 8pm to 6am,23 March,,https://www.reuters.com/article/health-coronavirus-senegal-ivorycoast/ivory-coast-senegal-declare-emergencies-impose-curfews-in-coronavirus-response-idUSL8N2BG9MO,
Senegal,Travel restrictions- international flights,20 March,18 April,https://www.reuters.com/article/health-coronavirus-senegal-ivorycoast/ivory-coast-senegal-declare-emergencies-impose-curfews-in-coronavirus-response-idUSL8N2BG9MO,
Seychelles,Temporary closure of cruise ships,9 March,,http://www.seychellesnewsagency.com/articles/12601/Seychelles+and+COVID-+Travel+ban+on+Europeans%3B+th+case+reported,
Sierra Leone,3 day lockdown,5 April,7 April,https://africafeeds.com/2020/04/01/sierra-leone-imposes-3-day-nationwide-lockdown-over-covid-19/,
Sierra Leone,14 days inter-district travel restricted,11 April,25 April,https://www.facebook.com/mic.gov.sl/photos/pcb.607921269795889/607921186462564/?type=3&theater,
Sierra Leone,Nationwide curfew- 9pm to 6am,11 April,25 April,https://www.facebook.com/mic.gov.sl/photos/pcb.607921269795889/607921186462564/?type=3&theater,
Sierra Leone,Limitations on retail trade to essential utilities,11 April,25 April,https://www.facebook.com/mic.gov.sl/photos/pcb.607921269795889/607921186462564/?type=3&theater,
Sierra Leone,Stay at home order ,11 April,25 April,https://www.facebook.com/mic.gov.sl/photos/pcb.607921269795889/607921186462564/?type=3&theater,
Sierra Leone,12 Month state of emergency,25 March,,https://www.aa.com.tr/en/africa/sierra-leone-declares-12-month-state-of-emergency-/1778433,
Somalia,Closure of all airports,19 March,3 April,https://www.aci-africa.aero/files/Status-COVID19-in-Africa-02-04-20.pdf,
Somalia,Closure of universities and school,19 March,3 April,https://www.aljazeera.com/news/2020/03/coronavirus-pandemic-experts-somalia-risk-greater-china-200319052938789.html,
Somalia,Suspensions of international flights,18 March,2 April,https://www.aa.com.tr/en/africa/somalia-tanzania-confirm-first-coronavirus-cases/1767971,
South Africa,35 land ports closed,16 March,,http://www.thepresidency.gov.za/press-statements/statement-president-cyril-ramaphosa-measures-combat-covid-19-epidemic.,
South Africa,Travel ban on foreign nationals from high risk countries,18 March,,http://www.thepresidency.gov.za/press-statements/statement-president-cyril-ramaphosa-measures-combat-covid-19-epidemic.,
South Africa,Schools closed,18 March,13 April,http://www.thepresidency.gov.za/press-statements/statement-president-cyril-ramaphosa-measures-combat-covid-19-epidemic.,
South Africa,21- day lockdown,23 March,30 April,https://businesstech.co.za/news/government/383927/ramaphosa-announces-21-day-coronavirus-lockdown-for-south-africa/,
South Africa,Face mask recommendation in public,10 April,,https://sacoronavirus.co.za/2020/04/10/dr-zweli-mkhize-recommends-the-widespread-use-of-cloth-masks/,
South Sudan,"Suspension of sports, political, social and religious gatherings",20 March,1 May,https://radiotamazuj.org/en/news/article/south-sudan-closes-schools-universities-amid-coronavirus-fears,
South Sudan,Closure of schools and universities,20 March,19 April,https://radiotamazuj.org/en/news/article/south-sudan-closes-schools-universities-amid-coronavirus-fears,
South Sudan,Suspension of flights to affected countries,14 March,,https://radiotamazuj.org/en/news/article/south-sudan-halts-flights-to-countries-affected-by-coronavirus,
South Sudan,Nightime curfew from 8p to 6am,25 March,,https://radiotamazuj.org/en/news/article/south-sudan-imposes-nighttime-curfew-over-coronavirus,
South Sudan,Upper Nile state lockdown,27 March,10 April,https://radiotamazuj.org/en/news/article/northern-upper-nile-under-lockdown-after-citizens-escaped-from-quarantine,
Sudan,Nationwide health emergency,16 March,,https://www.dabangasudan.org/en/all-news/article/sudan-declares-health-emergency-to-combat-coronavirus,
Sudan,Travel ban,16 March,,https://atlanticcouncil.org/blogs/africasource/coronavirus-comes-to-sudan/,
Sudan,Nationwide curfew 8pm to 6am,24 March,,https://atlanticcouncil.org/blogs/africasource/coronavirus-comes-to-sudan/,
Seychelles,Travel advisory- residents can't travel to places with local transmission,9 March,,https://www.aa.com.tr/en/africa/sierra-leone-declares-12-month-state-of-emergency-/1778433,
Seychelles,Travel ban except essential work,8 April,29 April,https://www.linfo.re/ocean-indien/seychelles/coronavirus-aux-seychelles-augmentation-des-controles-de-police-dans-l-archipel,
Seychelles,Prohibition on driving,8 April,29 April,https://www.linfo.re/ocean-indien/seychelles/coronavirus-aux-seychelles-augmentation-des-controles-de-police-dans-l-archipel,
Tanzania,Travel advisory/quarantine of all incoming travelers,23 March,,https://www.africanews.com/2020/03/24/coronavirus-tanzania-travel-advisory-no1-of-23032020-update-on-covid-19-in-tanzania//,
Tanzania,30- day ban on public gatherings,27 March,26 April,https://www.atlanticcouncil.org/blogs/africasource/tanzanias-mild-response-to-covid-19-and-its-implications-for-the-2020-elections/,
Togo,Closure of border,20 March,3 April,http://www.faapa.info/blog/togo-closes-borders-over-coronavirus/,
Togo,Prohibition of passengers from Schengen states,21 March,20 April,https://www.aci-africa.aero/files/Status-COVID19-in-Africa-02-04-20.pdf,
Togo,Quarantine of passengers,20 March,3 April,http://www.faapa.info/blog/togo-closes-borders-over-coronavirus/,
Togo,Suspension of flights and international events,19 March,9 April,https://www.togofirst.com/en/public-services/1703-5151-togolese-government-puts-in-place-an-emergency-fund-to-fight-coronavirus,
Togo,Suspension of large gatherings,19 March,,https://www.togofirst.com/en/public-services/1703-5151-togolese-government-puts-in-place-an-emergency-fund-to-fight-coronavirus,
Togo,Suspension of football,18 March,,https://www.togofirst.com/en/health/1803-5157-togolese-football-federation-suspends-all-competitions-due-to-the-coronavirus-threat,
Tunisia,Closure of borders and suspension of international flights,16 March,,https://observers.france24.com/en/20200319-coronavirus-continues-spread-tunisia-despite-mosque-cafe-closures,
Tunisia,Nationwide curfew 6pm to 6am,18 March,,https://observers.france24.com/en/20200319-coronavirus-continues-spread-tunisia-despite-mosque-cafe-closures,
Uganda,Mandatory quarantine,18 March,,,
Uganda,Closure of public gathering places,18 March,19 April,,
Uganda,Closure of schools and universities,20 March,19 April,https://www.theeastafrican.co.ke/news/ea/Museveni-orders-closure-of-schools/4552908-5495920-g6x714/index.html,
Uganda,Public transports suspended,25 March,8 April,https://www.monitor.co.ug/News/National/Photos-that-will-compel-you-cancel-your-journey-Kampala/688334-5505362-g3u0ib/index.html,
Uganda,Nationwide curfew from 7pm to 6:30 am,30 March,13 April,https://www.aa.com.tr/en/africa/uganda-declares-curfew-to-curb-spread-of-covid-19/1785775,
Uganda,All flights suspended,18 March,19 April,https://www.pmldaily.com/features/tours-travel/2020/03/full-speech-uganda-bans-travellers-from-covid-19-hit-countries.html,
Western Sahara,,,,,
Zambia,Closure of all educational establishments,20 March,,https://diggers.news/local/2020/03/17/govt-shuts-all-schools-to-prevent-covid-19-outbreak/,
Zambia,Mandatory screening,22 March,,https://diggers.news/local/2020/03/17/govt-shuts-all-schools-to-prevent-covid-19-outbreak/,
Zimbabwe,National emergency,17 March,,https://www.nbcnews.com/news/nbcblk/africa-lockdowns-begin-coronavirus-cases-above-1-000-n1168676,
Zimbabwe,Closure of some borders and screening intensified,24 March,,https://iharare.com/coronavirus-zim-update/,
Zimbabwe,Suspension of gatherings of more than 100 people,23 March,,https://iharare.com/coronavirus-zim-update/,
